"Compostion","Pnma-a","Pnma-b","Pnma-c","Pnma-volume","Pnma-M-moment","Pnma-T-moment","Pnma-M-M","Pnma-T-T","Pnma-X-X","Pnma-M-T","Pnma-M-X","Pnma-T-X","P6_3mmc-a","P6_3mmc-b","P6_3mmc-c","P6_3mmc-volume","P6_3mmc-M-moment","P6_3mmc-T-moment","P6_3mmc-M-M","P6_3mmc-T-T","P6_3mmc-X-X","P6_3mmc-M-T","P6_3mmc-M-X","P6_3mmc-T-X","energy","Ms","Delta_V","Theating","Tcooling","Hyst"
"FeNiGe(0.48)",5.4376,3.6548,6.9832,138.278,2.256,0.2136,2.8132,2.6168,3.3432,2.6908,2.4948,2.2984628,4.0144,4.0144,4.8372,67.4716,2.05,0.2648,3.3488,2.4136,3.3488,2.6144,2.3196,2.6144,169.2436,602.0784,1.67,197,184,13
"FeNiGe(0.46)",5.4502,3.6496,6.9764,138.261,2.277,0.2172,2.8214,2.6136,3.3464,2.6916,2.4946,2.2964806,4.0138,4.0138,4.8344,67.4132,2.08,0.2696,3.3476,2.4122,3.3476,2.6138,2.3192,2.6138,171.6322,607.2618,1.72,239,228,11
"FeNiGe(0.44)",5.4628,3.6444,6.9696,138.244,2.298,0.2208,2.8296,2.6104,3.3496,2.6924,2.4944,2.2944984,4.0132,4.0132,4.8316,67.3548,2.11,0.2744,3.3464,2.4108,3.3464,2.6132,2.3188,2.6132,174.0208,612.4452,1.77,294,280,14
"FeCoGe(0.37)",6.2815,3.0626,7.3729,139.7054,2.5092,0.699,2.8276,2.6198,3.0153,2.6587,2.5185,2.3130827,4.0114,4.0114,4.8327,67.4209,1.9378,0.6764,3.3485,2.4142,3.3485,2.6114,2.3157,2.6114,164.1379,561.921,1.3652,356,348,8
"FeCoGe(0.38)",6.291,3.0544,7.3826,139.7376,2.5048,0.706,2.8244,2.6212,3.0082,2.6578,2.519,2.3141738,4.0116,4.0116,4.8338,67.4446,1.9232,0.6816,3.349,2.4148,3.349,2.6116,2.3158,2.6116,163.0426,559.034,1.3388,337.67,311.9,25.77
"FeCoGe(0.39)",6.3005,3.0462,7.3923,139.7698,2.5004,0.713,2.8212,2.6226,3.0011,2.6569,2.5195,2.3152649,4.0118,4.0118,4.8349,67.4683,1.9086,0.6868,3.3495,2.4154,3.3495,2.6118,2.3159,2.6118,161.9473,556.147,1.3124,309,301,8
"FeCoGe(0.40)",6.12,3.202,7.208,139.158,2.584,0.58,2.882,2.596,3.136,2.674,2.51,2.294534,4.008,4.008,4.814,67.018,2.186,0.588,3.34,2.404,3.34,2.608,2.314,2.608,182.758,611,1.814,279,266.5,12.5
"FeCoGe(0.41)",6.1295,3.1938,7.2177,139.1902,2.5796,0.587,2.8788,2.5974,3.1289,2.6731,2.5105,2.2956251,4.0082,4.0082,4.8151,67.0417,2.1714,0.5932,3.3405,2.4046,3.3405,2.6082,2.3141,2.6082,181.6627,608.113,1.7876,247,233,14
"FeFeGe(0.30)",6.004,3.299,7.123,139.349,2.604,0.723,2.914,2.597,3.222,2.692,2.505,2.286623,4.018,4.018,4.812,67.24,2.326,0.938,3.341,2.404,3.341,2.612,2.319,2.612,161.929,813.069,2.435,439,421,18
"FeFeGe(0.31)",6.0128,3.2913,7.1331,139.3983,2.5988,0.7371,2.9108,2.5989,3.2154,2.6914,2.5055,2.2878141,4.0186,4.0186,4.8134,67.279,2.3112,0.9566,3.3417,2.4048,3.3417,2.6124,2.3193,2.6124,159.7743,815.9553,2.4205,399,382,17
"FeFeGe(0.32)",6.0216,3.2836,7.1432,139.4476,2.5936,0.7512,2.9076,2.6008,3.2088,2.6908,2.506,2.2890052,4.0192,4.0192,4.8148,67.318,2.2964,0.9752,3.3424,2.4056,3.3424,2.6128,2.3196,2.6128,157.6196,818.8416,2.406,359,342.67,16.33
"FeFeGe(0.33)",6.0304,3.2759,7.1533,139.4969,2.5884,0.7653,2.9044,2.6027,3.2022,2.6902,2.5065,2.2901963,4.0198,4.0198,4.8162,67.357,2.2816,0.9938,3.3431,2.4064,3.3431,2.6132,2.3199,2.6132,155.4649,821.7279,2.3915,336.33,315.67,20.66
"FeFeGe(0.34)",6.0392,3.2682,7.1634,139.5462,2.5832,0.7794,2.9012,2.6046,3.1956,2.6896,2.507,2.2913874,4.0204,4.0204,4.8176,67.396,2.2668,1.0124,3.3438,2.4072,3.3438,2.6136,2.3202,2.6136,153.3102,824.6142,2.377,308,287.5,20.5
"FeFeGe(0.35)",6.048,3.2605,7.1735,139.5955,2.578,0.7935,2.898,2.6065,3.189,2.689,2.5075,2.2925785,4.021,4.021,4.819,67.435,2.252,1.031,3.3445,2.408,3.3445,2.614,2.3205,2.614,151.1555,827.5005,2.3625,276.59,261.71,14.88
"FeFeGe(0.36)",6.0568,3.2528,7.1836,139.6448,2.5728,0.8076,2.8948,2.6084,3.1824,2.6884,2.508,2.2937696,4.0216,4.0216,4.8204,67.474,2.2372,1.0496,3.3452,2.4088,3.3452,2.6144,2.3208,2.6144,149.0008,830.3868,2.348,215,202,13
"CoNiGe(0.36)",5.4952,3.6056,6.9496,137.1356,1.8672,0.2136,2.8588,2.594,3.348,2.6884,2.4864,2.2829696,3.9892,3.9892,4.8384,66.7144,1.7728,0.2432,3.3416,2.416,3.3416,2.6036,2.3028,2.6036,154.894,495.4284,1.8548,364,337,27
"CoNiGe(0.38)",5.4816,3.6098,6.9568,137.0948,1.8176,0.2088,2.8504,2.597,3.344,2.6872,2.4862,2.2847518,3.9886,3.9886,4.8422,66.7502,1.7174,0.2356,3.3428,2.418,3.3428,2.6038,2.3024,2.6038,150.912,482.5922,1.7984,297,275,22
"CoNiGe(0.41)",5.4612,3.6161,6.9676,137.0336,1.7432,0.2016,2.8378,2.6015,3.338,2.6854,2.4859,2.2874251,3.9877,3.9877,4.8479,66.8039,1.6343,0.2242,3.3446,2.421,3.3446,2.6041,2.3018,2.6041,144.939,463.3379,1.7138,233,208,25
"FeFeGa(0.14)",5.9122,3.39,7.002,138.6036,2.6956,0.559,2.9596,2.5428,3.2954,2.703,2.5012,2.2801654,4.0126,4.0126,4.791,66.7938,2.6622,0.6446,3.3326,2.3912,3.3326,2.6084,2.317,2.6084,194.0004,783.355,2.5116,383,368,15
"FeFeGa(0.15)",5.9245,3.38,7.015,138.656,2.691,0.5775,2.956,2.543,3.2865,2.7025,2.502,2.2822565,4.0135,4.0135,4.7925,66.8455,2.6545,0.6635,3.3335,2.392,3.3335,2.609,2.3175,2.609,191.674,787.4175,2.486,329,315,14
"FeFeGa(0.16)",5.9368,3.37,7.028,138.7084,2.6864,0.596,2.9524,2.5432,3.2776,2.702,2.5028,2.2843476,4.0144,4.0144,4.794,66.8972,2.6468,0.6824,3.3344,2.3928,3.3344,2.6096,2.318,2.6096,189.3476,791.48,2.4604,285,272,13
"FeFeGa(0.17)",5.9491,3.36,7.041,138.7608,2.6818,0.6145,2.9488,2.5434,3.2687,2.7015,2.5036,2.2864387,4.0153,4.0153,4.7955,66.9489,2.6391,0.7013,3.3353,2.3936,3.3353,2.6102,2.3185,2.6102,187.0212,795.5425,2.4348,222,222,
"FeFeGa(0.18)",5.9614,3.35,7.054,138.8132,2.6772,0.633,2.9452,2.5436,3.2598,2.701,2.5044,2.2885298,4.0162,4.0162,4.797,67.0006,2.6314,0.7202,3.3362,2.3944,3.3362,2.6108,2.319,2.6108,184.6948,799.605,2.4092,216,216,
"FeNiGe(0.47)",5.4439,3.6522,6.9798,138.2695,2.2665,0.2154,2.8173,2.6152,3.3448,2.6912,2.4947,2.2974717,4.0141,4.0141,4.8358,67.4424,2.065,0.2672,3.3482,2.4129,3.3482,2.6141,2.3194,2.6141,170.4379,604.6701,1.695,184,157,27
"CoCoGe(0.31)",6.0221,3.2603,7.1114,137.7243,2.2392,0.5418,2.9139,2.5586,3.1844,2.6759,2.4869,2.2909141,3.9845,3.9845,4.8227,66.2994,1.9113,0.2622,3.3324,2.4079,3.3324,2.5969,2.3007,2.5969,146.8194,668.665,2.5662,385,363,22
"CoCoGe(0.32)",6.0312,3.2516,7.1208,137.7196,2.2224,0.5496,2.9108,2.5592,3.1768,2.6748,2.4868,2.2922052,3.984,3.984,4.8244,66.3068,1.8836,0.2584,3.3328,2.4088,3.3328,2.5968,2.3004,2.5968,144.2468,666.8,2.5564,333,307,26
"CoCoGe(0.33)",6.0403,3.2429,7.1302,137.7149,2.2056,0.5574,2.9077,2.5598,3.1692,2.6737,2.4867,2.2934963,3.9835,3.9835,4.8261,66.3142,1.8559,0.2546,3.3332,2.4097,3.3332,2.5967,2.3001,2.5967,141.6742,664.935,2.5466,275,237,38
"CoCoGe(0.34)",6.0494,3.2342,7.1396,137.7102,2.1888,0.5652,2.9046,2.5604,3.1616,2.6726,2.4866,2.2947874,3.983,3.983,4.8278,66.3216,1.8282,0.2508,3.3336,2.4106,3.3336,2.5966,2.2998,2.5966,139.1016,663.07,2.5368,203,203,
"CoCoGe(0.35)",6.0585,3.2255,7.149,137.7055,2.172,0.573,2.9015,2.561,3.154,2.6715,2.4865,2.2960785,3.9825,3.9825,4.8295,66.329,1.8005,0.247,3.334,2.4115,3.334,2.5965,2.2995,2.5965,136.529,661.205,2.527,204,204,
"FeCoGa(0.15)",5.902,3.389,6.9865,138.227,2.7015,0.4305,2.959,2.5475,3.2955,2.698,2.4975,2.2747565,4.0135,4.0135,4.7835,66.706,2.6485,0.5375,3.3305,2.3875,3.3305,2.6075,2.3175,2.6075,209.7205,790.8915,2.411,346.22,322.93,23.29
"FeCoGa(0.16)",5.9128,3.3796,6.9976,138.2508,2.6976,0.4392,2.9556,2.548,3.2872,2.6972,2.498,2.2763476,4.0144,4.0144,4.7844,66.7484,2.6404,0.548,3.3312,2.388,3.3312,2.608,2.318,2.608,208.5972,795.1856,2.3804,296.22,282.73,13.49
"FeCoGa(0.17)",5.9236,3.3702,7.0087,138.2746,2.6937,0.4479,2.9522,2.5485,3.2789,2.6964,2.4985,2.2779387,4.0153,4.0153,4.7853,66.7908,2.6323,0.5585,3.3319,2.3885,3.3319,2.6085,2.3185,2.6085,207.4739,799.4797,2.3498,238,238,
"Radhika1",6.0200890046,3.3689001666,7.2997924188,147.0078669,2.543744,0.926727,3.06239775,2.54,3.3366379,2.6772113,2.53761538,2.386343725,4.1073029753,4.1073029753,4.8964725516,71.8461711,2.489233,1.038781,3.4084833,2.4447838,3.4084833,2.6692788,2.3717675,2.6692788,167.9698197713,799.6793625848,5.18678345,,,
"Radhika2",5.8845620669,3.4468516989,7.0676347968,142.5863184,2.648384,0.623472,3.037044,2.54,3.3769744,2.6930768,2.51457568,2.3208016,4.0553821808,4.0553821808,4.8352761557,69.0512496,2.625088,0.720016,3.3656688,2.4134368,3.3656688,2.6357568,2.34188,2.6357568,196.3247456884,764.2603161728,4.0657592,,,
"Radhika3",6.0291241338,3.3637033978,7.3152695936,147.3026368,2.536768,0.946944,3.064088,2.54,3.3339488,2.6761536,2.53915136,2.3907132,4.1107643616,4.1107643616,4.9005523114,72.0324992,2.480176,1.060032,3.4113376,2.4468736,3.4113376,2.6715136,2.37376,2.6715136,166.0794913768,802.0406323456,5.2615184,,,
