Compounds,Family,Theating,Tcooling,Tavg,Hysteresis,dTt/dP,delta_S_1T,delta_S_2T,delta_S_3T,delta_S_5T,delta_S_7T,Reference
(MnNiSi)0.52(FeNiGe)0.48,MnNiSi-FeNiGe ,197,184,190.5,13,,11.5,,,,,"Zhang et. al., Appl. Phys. Lett. 103, 132411 (2013) https://aip.scitation.org/doi/full/10.1063/1.4823510"
(MnNiSi)0.54(FeNiGe)0.46,MnNiSi-FeNiGe ,239,228,233.5,11,,10.5,,,,,
(MnNiSi)0.56(FeNiGe)0.44,MnNiSi-FeNiGe ,294,280,287,14,,8.4,,,,,
MnNiSi (FeCoGe)0.37,MnNiSi-FeCoGe,356,348,352,8,-9.6,,26.85,,,,"Samanta, Tapas, et al. Journal of Applied Physics 117.12 (2015): 123911."
MnNiSi (FeCoGe)0.38,MnNiSi-FeCoGe,321,310,315.5,11,-7.1,,33.5,,,,
MnNiSi (FeCoGe)0.39,MnNiSi-FeCoGe,307,295,301,12,-7.1,,32.15,,,,
MnNiSi (FeCoGe)0.40,MnNiSi-FeCoGe,278,265,271.5,13,-9.8,,55.3,,,,
MnNiSi(0.61)FeCoGe(0.39),MnNiSi-FeCoGe,311,307,309,4,,44,,,,,"Lloveras, P., Samanta, T., Barrio, M., Dubenko, I., Ali, N., Tamarit, J. L., & Stadler, S. (2019). Giant reversible barocaloric response of (MnNiSi) 1− x (FeCoGe) x (0.39, 0.40, 0.41). APL Materials, 7(6), 061106."
MnNiSi(0.60)FeCoGe(0.40),MnNiSi-FeCoGe,280,268,274,12,,47,,,,,
MnNiSi(0.59)FeCoGe(0.41),MnNiSi-FeCoGe,247,233,240,14,,24,,,,,
MnNiSi(0.62)FeCoGe(0.38) (700 Quench),MnNiSi-FeCoGe,354,313.8,333.9,40.2,,,,,,36.2,"Chen, J. H., Chhetri, T. P., Saleheen, A. U., Young, D. P., Dubenko, I., Ali, N., & Stadler, S. (2019). Effects of heat treatments on magneto-structural phase transitions in MnNiSi-FeCoGe alloys. Intermetallics, 112, 106547."
MnNiSi(0.62)FeCoGe(0.38),MnNiSi-FeCoGe,338,,,,,57,,,,,"Samanta, T., Lloveras, P., Us Saleheen, A., Lepkowski, D. L., Kramer, E., Dubenko, I., ... & Ali, N. (2018). Barocaloric and magnetocaloric effects in (MnNiSi) 1− x (FeCoGe) x. Applied Physics Letters, 112(2), 021907."
(MnNiSi)0.48(MnFeGe)0.52,MnNiSi-MnFeGe,273,261,267,11,,6.5,13,,,,"Samanta et. al., PHYSICAL REVIEW B 91, 020401(R) (2015)"
(MnNiSi)0.46(MnFeGe)0.54,MnNiSi-MnFeGe,245,226,235.5,19,-4.5,9.14,18.46,,,,
MnNiSi-Fe2Ge(0.30),MnNiSi-Fe2Ge,439,421,430,18,,,,,,,"Zhang, C. L., Shi, H. F., Ye, E. J., Nie, Y. G., Han, Z. D., Qian, B., & Wang, D. H. (2015). Magnetostructural transition and magnetocaloric effect in MnNiSi-Fe2Ge system. Applied Physics Letters, 107(21), 212403."
MnNiSi-Fe2Ge(0.31),MnNiSi-Fe2Ge,399,382,390.5,17,,,,,,,
MnNiSi-Fe2Ge(0.32),MnNiSi-Fe2Ge,365,348,356.5,17,,,,,,,
MnNiSi-Fe2Ge(0.33),MnNiSi-Fe2Ge,328,313,320.5,15,,,,,,,
MnNiSi-Fe2Ge(0.34),MnNiSi-Fe2Ge,307,293,300,14,,,,,,,
MnNiSi-Fe2Ge(0.35),MnNiSi-Fe2Ge,266,249,257.5,17,,6.9,15.02,,,,
MnNiSi-Fe2Ge(0.36),MnNiSi-Fe2Ge,232,213,222.5,19,,,,,,,
MnNiSi-Fe2Ge(0.32),MnNiSi-Fe2Ge,363,350,356.5,18,,,23.99,,,,"Deepak, K., & Ramanujan, R. V. (2018). Near room temperature giant magnetocaloric effect in (MnNiSi) 1-x (Fe2Ge) x alloys. Journal of Alloys and Compounds, 743, 494-505."
MnNiSi-Fe2Ge(0.33),MnNiSi-Fe2Ge,331,315,323,21,,,23.7,,,,
MnNiSi-Fe2Ge(0.34),MnNiSi-Fe2Ge,301,276,288.5,25,,,26.4,,,,
MnNiSi-Fe2Ge(0.35),MnNiSi-Fe2Ge,259,238,248.5,16,,,21.49,,,,
MnNiSi-Fe2Ge(0.36),MnNiSi-Fe2Ge,218,200,209,13,,,21,,,,
MnNiSi-Fe2Ge(0.32),MnNiSi-Fe2Ge,349,330,339.5,19,,,,,,,Our data 
MnNiSi-Fe2Ge(0.33),MnNiSi-Fe2Ge,350,319,334.5,31,,,26.94,,,,
MnNiSi-Fe2Ge(0.34),MnNiSi-Fe2Ge,314,291,302.5,23,,,18.18,,,,
MnNiSi-Fe2Ge(0.35),MnNiSi-Fe2Ge,257,235,246,22,,,24.68,,,,
MnNiSi-Fe2Ge(0.36),MnNiSi-Fe2Ge,195,193,194,2,,,,,,,
MnNiSi(0.65)Fe2Ge(0.35) AQ 600,MnNiSi-Fe2Ge,284.11,278.22,281.165,5.89,,,,,,-58,"Chen, J. H., Us Saleheen, A., Karna, S. K., Young, D. P., Dubenko, I., Ali, N., & Stadler, S. (2018). Tuning martensitic transitions in (MnNiSi) 0.65 (Fe2Ge) 0.35 through heat treatment and hydrostatic pressure. Journal of Applied Physics, 124(20), 203903."
MnNiSi(0.65)Fe2Ge(0.35) (Slow Cool),MnNiSi-Fe2Ge,316.86,308.32,312.59,8.54,,,,,,-45,
Mn(0.8)Co(0.2)NiGe(0.75)Si(0.25),Mn−CoNiGe−Si,313,293,303,19,,7.6,15.92,,,,"Li, Y., et al. ""Windows open for highly tunable magnetostructural phase transitions."" APL Materials 4.7 (2016): 071101."
Mn(0.8)Co(0.2)NiGe(0.65)Si(0.35),Mn−CoNiGe−Si,390,371,380.5,19,,,,,,,Lattice parameters available in supplementary 
Mn(0.6)Co(0.4)NiGe(0.50)Si(0.50),Mn−CoNiGe−Si,143,98,120.5,45,,,,,,,
Mn(0.6)Co(0.4)NiGe(0.40)Si(0.60),Mn−CoNiGe−Si,250,214,232,36,,,,,,,
MnNiSi(0.64)CoNiGe(0.36),MnNiSi-CoNiGe,364,337,350.5,27,,,,,,,
MnNiSi(0.62)CoNiGe(0.38),MnNiSi-CoNiGe,297,275,286,22,,,15.24,,,,
MnNiSi(0.59)CoNiGe(0.41),MnNiSi-CoNiGe,233,208,220.5,25,,,,,,,
Mn(0.86)Ni(0.86)Fe2(0.14)Si(0.86)Ga(0.14),(MnNiSi)-(Fe2Ga),383,368,375.5,15,,,,,,,
Mn(0.85)Ni(0.85)Fe2(0.15)Si(0.85)Ga(0.15),(MnNiSi)-(Fe2Ga),329,315,322,14,,6.08,13.92,,,,
Mn(0.84)Ni(0.84)Fe2(0.16)Si(0.84)Ga(0.16),(MnNiSi)-(Fe2Ga),285,272,278.5,13,,,,,,,
Mn(0.83)Ni(0.83)Fe2(0.17)Si(0.83)Ga(0.17),(MnNiSi)-(Fe2Ga),222,222,222,0,,,,,,,
Mn(0.82)Ni(0.82)Fe2(0.18)Si(0.82)Ga(0.18),(MnNiSi)-(Fe2Ga),216,216,216,0,,,,,,,
Mn(0.64)Fe(0.36)NiGe(0.8)Si(0.2),Mn-FeNiGe-Si ,150,132,141,18,,6.5,12.81,,,,
Mn(0.64)Fe(0.36)NiGe(0.7)Si(0.3),Mn-FeNiGe-Si ,240,225,232.5,15,,6.6,13.07,,,,
Mn(0.64)Fe(0.36)NiGe(0.6)Si(0.4),Mn-FeNiGe-Si ,299,280,289.5,19,,6.07,11.33,,,,
Mn(0.64)Fe(0.36)NiGe(0.5)Si(0.5),Mn-FeNiGe-Si ,375,356,365.5,19,,4.5,10.11,,,,
Mn(0.64)Fe(0.36)NiGe(0.4)Si(0.6),Mn-FeNiGe-Si ,445,436,440.5,9,,4.24,9.24,,,,
