,Mn,Fe,Co,Ni,Si,Ge,Sn,Al,Ga,Theating,Tcoolilng,hysteresis
(MnNiSi)0.52(FeNiGe)0.48,17.3316,15.9984,0,33.33,17.3316,15.9984,0,0,0,197,184,13
(MnNiSi)0.54(FeNiGe)0.46,17.9982,15.3318,0,33.33,17.9982,15.3318,0,0,0,239,228,11
(MnNiSi)0.56(FeNiGe)0.44,18.6648,14.6652,0,33.33,18.6648,14.6652,0,0,0,294,280,14
MnNiSi(FeCoGe)0.37,20.9979,12.3321,12.3321,20.9979,20.9979,12.3321,0,0,0,356,348,8
MnNiSi(FeCoGe)0.38,20.6646,12.6654,12.6654,20.6646,20.6646,12.6654,0,0,0,337.6666666667,311.9,25.7666666667
MnNiSi(FeCoGe)0.39,20.3313,12.9987,12.9987,20.3313,20.3313,12.9987,0,0,0,309,301,8
MnNiSi(FeCoGe)0.40,19.998,13.332,13.332,19.998,19.998,13.332,0,0,0,279,266.5,12.5
MnNiSi(0.59)FeCoGe(0.41),19.6647,13.6653,13.6653,19.6647,19.6647,13.6653,0,0,0,247,233,14
(MnNiSi)0.48(MnFeGe)0.52,33.33,17.3316,0,15.9984,15.9984,17.3316,0,0,0,273,261,12
(MnNiSi)0.46(MnFeGe)0.54,33.33,17.9982,0,15.3318,15.3318,17.9982,0,0,0,245,226,19
MnNiSi-Fe2Ge(0.30),23.331,19.998,0,23.331,23.331,9.999,0,0,0,439,421,18
MnNiSi-Fe2Ge(0.31),22.9977,20.46,0,22.9977,22.9977,10.23,0,0,0,399,382,17
MnNiSi-Fe2Ge(0.32),22.6644,21.3312,0,22.6644,22.6644,10.6656,0,0,0,359,342.6666666667,16.3333333333
MnNiSi-Fe2Ge(0.33),22.3311,21.9978,0,22.3311,22.3311,10.9989,0,0,0,336.3333333333,315.6666666667,20.6666666666
MnNiSi-Fe2Ge(0.34),21.9978,22.6644,0,21.9978,21.9978,11.3322,0,0,0,308,287.75,20.25
MnNiSi-Fe2Ge(0.35),21.6645,23.331,0,21.6645,21.6645,11.6655,0,0,0,276.594,261.708,14.886
MnNiSi-Fe2Ge(0.36),21.3312,23.9976,0,21.3312,21.3312,11.9988,0,0,0,215,202,13
Mn(0.8)Co(0.2)NiGe(0.75)Si(0.25),26.664,0,6.666,33.33,8.3325,24.9975,0,0,0,313,293,20
Mn(0.8)Co(0.2)NiGe(0.65)Si(0.35),26.664,0,6.666,33.33,11.6655,21.6645,0,0,0,390,371,19
Mn(0.6)Co(0.4)NiGe(0.50)Si(0.50),19.998,0,13.332,33.33,16.665,16.665,0,0,0,143,98,45
Mn(0.6)Co(0.4)NiGe(0.40)Si(0.60),19.998,0,13.332,33.33,19.998,13.332,0,0,0,250,214,36
MnNiSi(0.64)CoNiGe(0.36),21.3312,0,11.9988,33.33,21.3312,11.9988,0,0,0,364,337,27
MnNiSi(0.62)CoNiGe(0.38),20.6646,0,12.6654,33.33,20.6646,12.6654,0,0,0,297,275,22
MnNiSi(0.59)CoNiGe(0.41),19.6647,0,13.6653,33.33,19.6647,13.6653,0,0,0,233,208,25
Mn(0.86)Ni(0.86)Fe2(0.14)Si(0.86)Ga(0.14),28.6638,9.3324,0,28.6638,28.6638,0,0,0,4.6662,383,368,15
Mn(0.85)Ni(0.85)Fe2(0.15)Si(0.85)Ga(0.15),28.3305,9.999,0,28.3305,28.3305,0,0,0,4.9995,329,315,14
Mn(0.84)Ni(0.84)Fe2(0.16)Si(0.84)Ga(0.16),27.9972,10.6656,0,27.9972,27.9972,0,0,0,5.3328,285,272,13
Mn(0.83)Ni(0.83)Fe2(0.17)Si(0.83)Ga(0.17),27.6639,11.3322,0,27.6639,27.6639,0,0,0,5.6661,222,222,
Mn(0.82)Ni(0.82)Fe2(0.18)Si(0.82)Ga(0.18),27.3306,11.9988,0,27.3306,27.3306,0,0,0,5.9994,216,216,
Mn(0.64)Fe(0.36)NiGe(0.8)Si(0.2),21.3312,11.9988,0,33.33,6.666,26.664,0,0,0,150,132,18
Mn(0.64)Fe(0.36)NiGe(0.7)Si(0.3),21.3312,11.9988,0,33.33,9.999,23.331,0,0,0,240,225,15
Mn(0.64)Fe(0.36)NiGe(0.6)Si(0.4),21.3312,11.9988,0,33.33,13.332,19.998,0,0,0,299,280,19
Mn(0.64)Fe(0.36)NiGe(0.5)Si(0.5),21.3312,11.9988,0,33.33,16.665,16.665,0,0,0,375,356,19
Mn(0.64)Fe(0.36)NiGe(0.4)Si(0.6),21.3312,11.9988,0,33.33,19.998,13.332,0,0,0,445,436,9
Mn0.53Fe0.47NiSi0.53Ge0.47,17.6649,15.6651,0,33.33,17.6649,15.6651,0,0,0,184,157,27
Mn(0.69)Ni(0.69)Co(0.62)Si(0.69)Ge(0.31),22.9977,0,20.6646,22.9977,22.9977,10.3323,0,0,0,385,363,22
Mn(0.68)Ni(0.68)Co(0.64)Si(0.68)Ge(0.32),22.6644,0,21.3312,22.6644,22.6644,10.6656,0,0,0,333,307,26
Mn(0.67)Ni(0.67)Co(0.66)Si(0.67)Ge(0.33),22.3311,0,21.9978,22.3311,22.3311,10.9989,0,0,0,275,237,38
Mn(0.66)Ni(0.66)Co(0.68)Si(0.66)Ge(0.34),21.9978,0,22.6644,21.9978,21.9978,11.3322,0,0,0,203,203,
Mn(0.65)Ni(0.65)Co(0.70)Si(0.65)Ge(0.35),21.6645,0,23.331,21.6645,21.6645,11.6655,0,0,0,204,204,
Mn(0.82)Co(0.36)Ni(0.82)Ge(0.75)Si(0.25),27.3306,0,11.9988,27.3306,8.3325,24.9975,0,0,0,312,299,13
Mn(0.81)Co(0.38)Ni(0.81)Ge(0.75)Si(0.25),26.9973,0,12.6654,26.9973,8.3325,24.9975,0,0,0,302,288,14
Mn(0.8)Co(0.4)Ni(0.8)Ge(0.75)Si(0.25),26.664,0,13.332,26.664,8.3325,24.9975,0,0,0,278,267,11
Mn(0.79)Co(0.42)Ni(0.79)Ge(0.75)Si(0.25),26.3307,0,13.9986,26.3307,8.3325,24.9975,0,0,0,254,247,7
Mn(0.78)Co(0.44)Ni(0.78)Ge(0.75)Si(0.25),25.9974,0,14.6652,25.9974,8.3325,24.9975,0,0,0,236,217,19
Mn(0.5)Fe(0.5)NiSi(0.955)Al(0.045),16.665,16.665,0,33.33,31.83015,0,0,1.49985,0,357,329,28
Mn(0.5)Fe(0.5)NiSi(0.945)Al(0.055),16.665,16.665,0,33.33,31.49685,0,0,1.83315,0,317,289,28
Mn(0.5)Fe(0.5)NiSi(0.94)Al(0.06),16.665,16.665,0,33.33,31.3302,0,0,1.9998,0,284,261,23
Mn(0.5)Fe(0.5)NiSi(0.935)Al(0.065),16.665,16.665,0,33.33,31.16355,0,0,2.16645,0,261,243,18
